Koror	 Palaos
Kralendijk (Bonaire)	 Bonaire, Saint-Eustache et Saba
Ngerulmud	 Palaos
Pyinmana (en réalité Naypyidaw) 15	 Birmanie
Rangoon (Rangoun, Yangon)15	 Birmanie
Saint-Marin	 Saint-Marin
The Bottom (Saba)	 Bonaire, Saint-Eustache et Saba
West Island	 Îles Cocos

Capitales des pays dont l'indépendance n'est pas généralement reconnue[modifier]
Hargeisa	 Somaliland
Ramallah (provisoire)	 Autorité Palestinienne
Soukhoumi	 Abkhazie
Stepanakert	 Haut-Karabagh
Tiraspol	 Transnistrie
Tskhinvali	 Ossétie du Sud
